"arbitror, arbitrari, arbitratus vb dep",to judge-2,
"arbor, -oris n (f)",tree-6,
"arc(h)a, -ae n (f)",chest-3,
"arceo, arcere, arcui, ? vb tr",to defend against-1,
"arcesso, arcessiri, arcessivi, arcessitum (accerso) vb tr",to summon-1,
"archidiaconus, -i n (m)",archdeacon-3,
"archiepiscopalis, -e adj",archiepiscopal-1,
"archiepiscopus, -i n (m)",archbishop-7,
"arcus, -us n (m)",arch-1: rainbow-6,
"ardeo, ardere, arsi, arsum vb intr",to burn-2,
"ardor, -oris n (m)",heat-1,
"arduus, -a, -um adj",important-1,
"argenteus, -a, -um adj",of silver-2,
"argentum, -i n (n)",silver-7,
"arguo, arguere, argui, argutum vb tr",to argue-1,
"aridus, -a, -um adj",dry-2,
"arithmetica, -ae n (f)",arithmetic-2,
"arithmeticus, -a, -um adj",arithmetical-1,
"arma, -orum n (n)",arms-3,
"armamentarium, -ii n (n)",armory-1,
"armo, armare, armavi, armatum vb tr",to arm-2,
"aroma, -atis n (n)",sweet odour-1: spice-2,
"arpennus, -i n (m)",arpent (half-acre)-1,
"arr(h)a, -ae n (f)",pledge-1,
"arripio, arripere, arripui, arreptum vb tr",to seize-3,
"ars, artis n (f)",art-9,
"artifex, -icis n (m)",Maker-1: artist-1,
"artificium, -ii n (n)",art-1,
"artus, -a, -um adj",narrow-1,
"arvum, -i n (n)",field-1,
"arx, arcis n (f)",citadel-2,
"ascendo, ascendere, ascendi, ascensum vb intr",to ascend-4: to climb-3: to embark-2,
"ascensus, -us n (m)",ascent-1,
"ascribo, ascribere, ascripsi, ascriptum vb tr",to ascribe (to) (with dat)-1,
"asellus, -i n (m)",little ass-2,
"asina, -ae n (f)",she-ass-1,
"asinus, -i n (m)",ass-7,
"aspectus, -us n (m)",appearance-4: gaze-1,
"asper, aspera, asperum adj",harsh-4,
"aspergo, aspergere, aspersi, aspersus vb tr",to sprinkle-2,
"asperitas, -atis n (f)",harshness-2,
"aspicio, aspicere, aspexi, aspectum vb tr",to look at-7,
6,,
"assensus, -us n (m)",assent-1,
"assero, asserere, asserui, assertum vb tr",to assert-3,
assidue adv,constantly-1,
"assigno, assignare, assignavi, assignatum (adsigno) vb tr",to assign-4,
"assimulo, -are, assimulavi, assimulatum (assimilo) vb tr",to imitate-1,
"assisto, assistere, astiti, ? vb intr",to assist (with dat)-1,
"assuefacio, assuefacere, assuefeci, assuefactum vb tr",to make accustomed-1,
"assuesco, -ere, assuevi, assuetum (adsuesco) vb tr and intr",to be accustomed-1,
"assumo, assumere, asumpsi, assumptum vb tr",to take with one’s self-1: to assume-3,
"assurgo, assurgere, assurrexi, assurrectum vb intr",to rise to-1,
"asto, astare, astiti, — vb intr",to be present-4,
"astrologia, -ae n (f)",astrology-1,
"astronomia, -ae n (f)",astronomy-3,
"astrum, -i n (n)",star-3,
"astutia, -ae n (f)",cunning-1,
at conj,but (adds something different but not opposite)-12,
"ater, atra, atrum adj",black-1,
"at(h)omos, -i n (f)","??????, -??, ?: atom-2",
atque conj,and-35,
"atrium, -ii n (n)",hall-1,
attamen adv,but yet-1,
"attendo, attendere, attendi, attentum (adtendo) vb tr",turn towards-2: pay attention to-5,
attente adv,attentively-1,
attentius (adtentius) adv compar,more attentively-1,
"attestor, attestari, attestatus (adtestor) vb dep",to attest-1,
"attingo, attingere, attigi, attactum vb tr",to touch on-1,
"attollo, attollere, ?, ? vb tr",to lift up-1,
"attraho, attrahere, attraxi, attractum vb tr",to attract-1,
"attribuo, attribuere, attribui, attributum vb tr",to attribute-1,
"auctor, -oris n (m)",author-4: authority-1: Creator-1: originator-4,
"auctoritas, -atis n (f)",authority-5,
"aucupo, aucupare, aucupavi, aucupatum vb tr",(avis capio) to go fowling-2,
"audacia, -ae n (f)",boldness-4,
audacter adv,boldly-1,
"audeo, audere, ausus vb semideponent",to dare-8,
"audio, audire, audivi, auditum vb tr","to hear, to listen-43",
"auditor, -oris n (m)",listener-2,
"aufero, auferre, abstuli, ablatum vb tr",to carry away-3: to steal-3,
"augeo, augere, auxi, auctum vb tr and intr",to increase-3,
"augmentum, -i n (n)",increase-1,
"augustus, -a, -um adj",august-1,
"aula, -ae n (f)",court-1: hall-1,
"aureus, -a, -um adj",golden-6,
"auris, -is n (f)",ear-7,
"aurora, -ae n (f)",dawn-1,
"aurum, -i n (n)",gold-6,
aut conj,or-16,
aut . . . aut conj,either . . . or-8,
autem conj postpositive,"however, moreover (often does not need translation)-103",
"authenticus, -a, -um adj",authentic-2,
"auxilior, auxiliari, auxiliatus vb dep",to aid-1,
"auxilium, -ii n (n)",aid-8,
"avaritia, ae n (f)",greed-1,
7,,
"avarus, -a, -um adj",greedy-4,
"averto, avertere, averti, aversum vb tr",to avert-3,
"avis, -is n (f)",bird-8,
"avunculus, -i n (m)",(maternal) uncle-1,
"axis, -is n (m)",axis-1,
,,
b n indec (f),the letter ‘b’-1,
"ballivus, -i n (m)",bailiff-1,
"baptisma, -atis n (n)",baptism-2,
"baptismum, -i n (n)",baptism-2,
"baptisterium, -ii n (n)",baptistery-1,
"baptizo, baptizare, baptizavi, baptizatum vb tr",to baptize-1,
"barbarus, -a, -um adj",barbarous-1,
"basilica, -ae n (f)",basilica-3,
"beatissimus, -a, -um adj superl",most blessed-3,
"beatus, -a, -um adj",blessed-23,
"bellator, -oris n (m)",warrior-1,
"bellicosus, -a, -um adj",fierce-1,
"bellicus, -a, -um adj",of war-1,
"belligero, belligerare, belligeravi, belligeratum vb tr",to wage war-1,
"bellum, -i n (n)",war-9,
